Wine Name,Producer,Appellation,Region,Country,Vintage,Grape Varieties,Style,Price USD,Unit,Description,Importer,Alcohol,Score
Russian River Valley Pinot Noir,Williams Selyem,Russian River Valley AVA,Sonoma,USA,2021,Pinot Noir,red,95.00,bottle,"Iconic RRV Pinot. Dark cherry, cola, and forest floor. Velvety texture, long finish.",Kobrand,13.5%,96 WS
Paso Robles Syrah,Tablas Creek,Paso Robles AVA,Central Coast,USA,2020,Syrah,red,45.00,bottle,"Rhône-inspired, co-fermented with Viognier. Bacon fat, blackberry, white pepper.",Southern Glazer's,14.5%,92 WA
Napa Valley Sauvignon Blanc,Duckhorn,Napa Valley AVA,Napa Valley,USA,2022,Sauvignon Blanc,white,32.00,bottle,"Tropical and lively, grapefruit and passionfruit, hint of oak. BTG crowd-pleaser.",Southern Glazer's,14%,90 WS
Ribera del Duero Reserva,Vega-Sicilia Alion,Ribera del Duero DO,Castile and León,Spain,2018,Tempranillo,red,95.00,bottle,"100% Tempranillo from Vega-Sicilia's Alion estate. Dark fruit and mocha, beautifully integrated.",Fine Estates,14%,95 WA
Priorat Les Terrasses,Alvaro Palacios,DOQ Priorat,Catalonia,Spain,2020,"Garnacha, Cariñena",red,55.00,bottle,"Mineral and powerful, slate-driven terroir, black olive and dark plum. Bold pairing for lamb.",Fine Estates,15%,93 WS
Rías Baixas Albariño Pazo de Señoráns,Pazo de Señoráns,Rías Baixas DO,Galicia,Spain,2022,Albariño,white,28.00,bottle,"Benchmark Albariño. Peach, apricot, and citrus zest with bright acidity. Perfect seafood wine.",Fine Estates,13%,91 WS
Grüner Veltliner Smaragd Kellerberg,F.X. Pichler,Wachau DAC,Wachau,Austria,2021,Grüner Veltliner,white,115.00,bottle,"Smaragd-level intensity. White pepper, grapefruit, and minerals. Austria's greatest Grüner.",Skurnik Wines,14%,97 WA
Riesling Spätlese Ürziger Würzgarten,Dr. Loosen,Mosel,Mosel,Germany,2022,Riesling,white,38.00,bottle,"Off-dry, aromatic, delicate slate minerality. Only 8% alcohol — brilliant BTG option.",Moselland,8%,93 WS
Zind-Humbrecht Riesling Rangen de Thann Clos Saint Urbain,Zind-Humbrecht,Alsace AOC,Alsace,France,2019,Riesling,white,145.00,bottle,"Grand Cru volcanic Riesling. Smoky, complex, age-worthy. One of France's finest whites.",Martine's Wines,14%,98 WA
Condrieu Viognier Château du Rozay,Paul Jaboulet,Condrieu AOC,Rhône Valley,France,2022,Viognier,white,85.00,bottle,"Opulent apricot and honeysuckle, full-bodied but fresh. Extraordinary with Thai or Indian spice.",Kobrand,14%,93 WA
Châteauneuf-du-Pape Château Rayas,Château Rayas,Châteauneuf-du-Pape AOC,Rhône Valley,France,2018,Grenache,red,620.00,bottle,"The most mythical CdP. Ethereal and silky, raspberry and garrigue. Limited allocation.",Martine's Wines,14%,100 WA
Crozes-Hermitage Les Jalets,Paul Jaboulet,Crozes-Hermitage AOC,Rhône Valley,France,2021,Syrah,red,28.00,bottle,"Northern Rhône Syrah at an accessible price. Violet, smoked meat, olive tapenade.",Kobrand,13.5%,91 WS
Port Quinta do Crasto LBV,Quinta do Crasto,Douro DOC,Douro,Portugal,2018,"Touriga Nacional, Touriga Franca",fortified,32.00,bottle,"Rich and plummy Late Bottled Vintage. Chocolate, dried fig. No decanting required.",Wine Australia Imports,20%,92 WS
Sauternes Château Rieussec Premier Cru,Château Rieussec,Sauternes AOC,Bordeaux,France,2016,"Sémillon, Sauvignon Blanc",dessert,95.00,half-bottle,"First Growth Sauternes. Apricot jam, crème brûlée, Botrytis complexity. Pair with foie gras.",Moët Hennessy,14%,96 WA
